"STATION","DATE","CLDD","HTDD","TAVG","TMAX","TMIN"
"USW00093738","1980-01-01",,,,"46","21"
"USW00093738","1980-01-02",,,,"41","20"
"USW00093738","1980-01-03",,,,"43","28"
"USW00093738","1980-01-04",,,,"33","27"
"USW00093738","1980-01-05",,,,"29","22"
"USW00093738","1980-01-06",,,,"34","14"
"USW00093738","1980-01-07",,,,"40","25"
"USW00093738","1980-01-08",,,,"39","30"
"USW00093738","1980-01-09",,,,"39","22"
"USW00093738","1980-01-10",,,,"36","13"
"USW00093738","1980-01-11",,,,"49","34"
"USW00093738","1980-01-12",,,,"47","28"
"USW00093738","1980-01-13",,,,"35","24"
"USW00093738","1980-01-14",,,,"41","32"
"USW00093738","1980-01-15",,,,"50","31"
"USW00093738","1980-01-16",,,,"57","29"
"USW00093738","1980-01-17",,,,"44","28"
"USW00093738","1980-01-18",,,,"44","40"
"USW00093738","1980-01-19",,,,"47","32"
"USW00093738","1980-01-20",,,,"47","28"
"USW00093738","1980-01-21",,,,"47","21"
"USW00093738","1980-01-22",,,,"44","26"
"USW00093738","1980-01-23",,,,"42","24"
"USW00093738","1980-01-24",,,,"31","13"
"USW00093738","1980-01-25",,,,"41","23"
"USW00093738","1980-01-26",,,,"42","25"
"USW00093738","1980-01-27",,,,"37","21"
"USW00093738","1980-01-28",,,,"41","28"
"USW00093738","1980-01-29",,,,"37","21"
"USW00093738","1980-01-30",,,,"31","17"
"USW00093738","1980-01-31",,,,"28","17"
"USW00093738","1980-02-01",,,,"28","14"
"USW00093738","1980-02-02",,,,"29","14"
"USW00093738","1980-02-03",,,,"32","15"
"USW00093738","1980-02-04",,,,"35","21"
"USW00093738","1980-02-05",,,,"39","16"
"USW00093738","1980-02-06",,,,"31","20"
"USW00093738","1980-02-07",,,,"40","16"
"USW00093738","1980-02-08",,,,"41","23"
"USW00093738","1980-02-09",,,,"35","28"
"USW00093738","1980-02-10",,,,"36","16"
"USW00093738","1980-02-11",,,,"41","9"
"USW00093738","1980-02-12",,,,"37","20"
"USW00093738","1980-02-13",,,,"41","10"
"USW00093738","1980-02-14",,,,"58","13"
"USW00093738","1980-02-15",,,,"45","28"
"USW00093738","1980-02-16",,,,"43","24"
"USW00093738","1980-02-17",,,,"32","16"
"USW00093738","1980-02-18",,,,"42","9"
"USW00093738","1980-02-19",,,,"55","18"
"USW00093738","1980-02-20",,,,"61","22"
"USW00093738","1980-02-21",,,,"62","37"
"USW00093738","1980-02-22",,,,"47","39"
"USW00093738","1980-02-23",,,,"58","33"
"USW00093738","1980-02-24",,,,"58","33"
"USW00093738","1980-02-25",,,,"44","32"
"USW00093738","1980-02-26",,,,"36","22"
"USW00093738","1980-02-27",,,,"41","25"
"USW00093738","1980-02-28",,,,"31","19"
"USW00093738","1980-02-29",,,,"26","3"
"USW00093738","1980-03-01",,,,"18","11"
"USW00093738","1980-03-02",,,,"23","12"
"USW00093738","1980-03-03",,,,"36","12"
"USW00093738","1980-03-04",,,,"51","6"
"USW00093738","1980-03-05",,,,"57","37"
"USW00093738","1980-03-06",,,,"49","36"
"USW00093738","1980-03-07",,,,"65","36"
"USW00093738","1980-03-08",,,,"73","50"
"USW00093738","1980-03-09",,,,"56","31"
"USW00093738","1980-03-10",,,,"65","25"
"USW00093738","1980-03-11",,,,"52","32"
"USW00093738","1980-03-12",,,,"38","25"
"USW00093738","1980-03-13",,,,"34","28"
"USW00093738","1980-03-14",,,,"42","30"
"USW00093738","1980-03-15",,,,"54","29"
"USW00093738","1980-03-16",,,,"63","24"
"USW00093738","1980-03-17",,,,"65","41"
"USW00093738","1980-03-18",,,,"63","31"
"USW00093738","1980-03-19",,,,"59","25"
"USW00093738","1980-03-20",,,,"67","40"
"USW00093738","1980-03-21",,,,"66","42"
"USW00093738","1980-03-22",,,,"45","36"
"USW00093738","1980-03-23",,,,"58","29"
"USW00093738","1980-03-24",,,,"54","35"
"USW00093738","1980-03-25",,,,"56","36"
"USW00093738","1980-03-26",,,,"49","30"
"USW00093738","1980-03-27",,,,"62","25"
"USW00093738","1980-03-28",,,,"52","37"
"USW00093738","1980-03-29",,,,"58","45"
"USW00093738","1980-03-30",,,,"61","45"
"USW00093738","1980-03-31",,,,"48","37"
"USW00093738","1980-04-01",,,,"59","38"
"USW00093738","1980-04-02",,,,"73","38"
"USW00093738","1980-04-03",,,,"69","40"
"USW00093738","1980-04-04",,,,"74","49"
"USW00093738","1980-04-05",,,,"62","39"
"USW00093738","1980-04-06",,,,"69","32"
"USW00093738","1980-04-07",,,,"70","40"
"USW00093738","1980-04-08",,,,"73","52"
"USW00093738","1980-04-09",,,,"75","49"
"USW00093738","1980-04-10",,,,"68","41"
"USW00093738","1980-04-11",,,,"73","41"
"USW00093738","1980-04-12",,,,"71","46"
"USW00093738","1980-04-13",,,,"65","50"
"USW00093738","1980-04-14",,,,"70","49"
"USW00093738","1980-04-15",,,,"58","45"
"USW00093738","1980-04-16",,,,"53","35"
"USW00093738","1980-04-17",,,,"60","30"
"USW00093738","1980-04-18",,,,"69","33"
