"STATION","DATE","CLDD","HTDD","TAVG","TMAX","TMIN"
"USW00093738","2000-01-01",,,"39","56","22"
"USW00093738","2000-01-02",,,"53","67","39"
"USW00093738","2000-01-03",,,"62","68","55"
"USW00093738","2000-01-04",,,"57","69","45"
"USW00093738","2000-01-05",,,"35","45","25"
"USW00093738","2000-01-06",,,"33","46","20"
"USW00093738","2000-01-07",,,"37","52","22"
"USW00093738","2000-01-08",,,"32","44","20"
"USW00093738","2000-01-09",,,"41","45","36"
"USW00093738","2000-01-10",,,"45","50","39"
"USW00093738","2000-01-11",,,"46","54","37"
"USW00093738","2000-01-12",,,"41","53","28"
"USW00093738","2000-01-13",,,"44","60","28"
"USW00093738","2000-01-14",,,"26","31","21"
"USW00093738","2000-01-15",,,"28","36","19"
"USW00093738","2000-01-16",,,"46","62","28"
"USW00093738","2000-01-17",,,"23","28","17"
"USW00093738","2000-01-18",,,"18","21","15"
"USW00093738","2000-01-19",,,"26","39","13"
"USW00093738","2000-01-20",,,"29","35","23"
"USW00093738","2000-01-21",,,"17","23","11"
"USW00093738","2000-01-22",,,"15","23","7"
"USW00093738","2000-01-23",,,"27","31","22"
"USW00093738","2000-01-24",,,"31","38","24"
"USW00093738","2000-01-25",,,"28","31","24"
"USW00093738","2000-01-26",,,"26","32","19"
"USW00093738","2000-01-27",,,"19","23","15"
"USW00093738","2000-01-28",,,"23","32","13"
"USW00093738","2000-01-29",,,"22","35","8"
"USW00093738","2000-01-30",,,"21","29","13"
"USW00093738","2000-01-31",,,"25","38","12"
"USW00093738","2000-02-01",,,"21","37","5"
"USW00093738","2000-02-02",,,"26","34","17"
"USW00093738","2000-02-03",,,"24","34","14"
"USW00093738","2000-02-04",,,"31","40","22"
"USW00093738","2000-02-05",,,"31","40","22"
"USW00093738","2000-02-06",,,"33","39","26"
"USW00093738","2000-02-07",,,"35","47","22"
"USW00093738","2000-02-08",,,"30","38","21"
"USW00093738","2000-02-09",,,"33","50","15"
"USW00093738","2000-02-10",,,"42","59","24"
"USW00093738","2000-02-11",,,"48","60","36"
"USW00093738","2000-02-12",,,"29","36","21"
"USW00093738","2000-02-13",,,"28","35","20"
"USW00093738","2000-02-14",,,"47","58","35"
"USW00093738","2000-02-15",,,"35","44","26"
"USW00093738","2000-02-16",,,"47","65","28"
"USW00093738","2000-02-17",,,"36","41","30"
"USW00093738","2000-02-18",,,"35","40","30"
"USW00093738","2000-02-19",,,"44","52","36"
"USW00093738","2000-02-20",,,"42","48","35"
"USW00093738","2000-02-21",,,"39","49","29"
"USW00093738","2000-02-22",,,"42","56","28"
"USW00093738","2000-02-23",,,"47","59","34"
"USW00093738","2000-02-24",,,,"72","35"
"USW00093738","2000-02-25",,,,"79","47"
"USW00093738","2000-02-26",,,,"59","43"
"USW00093738","2000-02-27",,,,"64","44"
"USW00093738","2000-02-28",,,"50","57","42"
"USW00093738","2000-02-29",,,"46","60","32"
"USW00093738","2000-03-01",,,"46","60","31"
