"STATION","DATE","CLDD","HTDD","TAVG","TMAX","TMIN"
"USW00093738","2010-01-01",,,,"43","28"
"USW00093738","2010-01-02",,,,"28","18"
"USW00093738","2010-01-03",,,,"26","14"
"USW00093738","2010-01-04",,,,"32","21"
"USW00093738","2010-01-05",,,,"35","27"
"USW00093738","2010-01-06",,,,"37","28"
"USW00093738","2010-01-07",,,,"37","28"
"USW00093738","2010-01-08",,,,"32","22"
"USW00093738","2010-01-09",,,,"36","22"
"USW00093738","2010-01-10",,,,"31","19"
"USW00093738","2010-01-11",,,,"37","13"
"USW00093738","2010-01-12",,,,"34","27"
"USW00093738","2010-01-13",,,,"44","23"
"USW00093738","2010-01-14",,,,"53","19"
"USW00093738","2010-01-15",,,,"55","21"
"USW00093738","2010-01-16",,,,"52","27"
"USW00093738","2010-01-17",,,,"44","35"
"USW00093738","2010-01-18",,,,"55","31"
"USW00093738","2010-01-19",,,,"60","28"
"USW00093738","2010-01-20",,,,"43","34"
"USW00093738","2010-01-21",,,,"43","28"
"USW00093738","2010-01-22",,,,"39","34"
"USW00093738","2010-01-23",,,,"47","28"
"USW00093738","2010-01-24",,,,"57","34"
"USW00093738","2010-01-25",,,,"65","44"
"USW00093738","2010-01-26",,,,"44","33"
"USW00093738","2010-01-27",,,,"44","26"
"USW00093738","2010-01-28",,,,"52","25"
"USW00093738","2010-01-29",,,,"26","18"
"USW00093738","2010-01-30",,,,"21","17"
"USW00093738","2010-01-31",,,,"33","11"
"USW00093738","2010-02-01",,,,"38","6"
"USW00093738","2010-02-02",,,,"40","15"
"USW00093738","2010-02-03",,,,"40","27"
"USW00093738","2010-02-04",,,,"40","27"
"USW00093738","2010-02-05",,,,"35","30"
"USW00093738","2010-02-06",,,,"32","10"
"USW00093738","2010-02-07",,,,"31","7"
"USW00093738","2010-02-08",,,,"32","13"
"USW00093738","2010-02-09",,,,"35","10"
"USW00093738","2010-02-10",,,,"30","20"
"USW00093738","2010-02-11",,,,"38","28"
"USW00093738","2010-02-12",,,,"37","23"
"USW00093738","2010-02-13",,,,"32","26"
"USW00093738","2010-02-14",,,,"38","19"
"USW00093738","2010-02-15",,,,"37","9"
"USW00093738","2010-02-16",,,,"35","20"
